step,t,d,C,side,digits,norm4
451,159894195979139784917021385235584514141723906848941408512500206247527075089747536964037675920864524589470038175214128414156884666942496059,497068650,319788391958279569834042770471169028283447813697882817025000412495054150179495073928075351841729049178940076350428256828313769334382060769,d+1,138,0.00867
452,319788391958279569834042770471169028283447813697882817025000412495054150179495073928075351841729049178940076350428256828313769334382060769,35099130,639576783916559139668085540942338056566895627395765634050000824990108300358990147856150703683458098357880152700856513656627538668799220669,d+1,138,0.00061
453,639576783916559139668085540942338056566895627395765634050000824990108300358990147856150703683458098357880152700856513656627538668799220669,471176922,1279153567833118279336171081884676113133791254791531268100001649980216600717980295712301407366916196715760305401713027313255077338069618261,d-1,138,0.00807
454,1279153567833118279336171081884676113133791254791531268100001649980216600717980295712301407366916196715760305401713027313255077338069618261,944798148,2558307135666236558672342163769352226267582509583062536200003299960433201435960591424602814733832393431520610803426054626510154677084034671,d-1,139,0.01603
455,2558307135666236558672342163769352226267582509583062536200003299960433201435960591424602814733832393431520610803426054626510154677084034671,399223266,5116614271332473117344684327538704452535165019166125072400006599920866402871921182849205629467664786863041221606852109253020309354567292609,d+1,139,0.00671
456,5116614271332473117344684327538704452535165019166125072400006599920866402871921182849205629467664786863041221606852109253020309354567292609,419903718,10233228542664946234689368655077408905070330038332250144800013199841732805743842365698411258935329573726082443213704218506040618709554488937,both,139,0.00700
457,10233228542664946234689368655077408905070330038332250144800013199841732805743842365698411258935329573726082443213704218506040618709554488937,19386291852,20466457085329892469378737310154817810140660076664500289600026399683465611487684731396822517870659147452164886427408437012081237438495269727,d-1,140,0.32017
458,20466457085329892469378737310154817810140660076664500289600026399683465611487684731396822517870659147452164886427408437012081237438495269727,12484189092,40932914170659784938757474620309635620281320153329000579200052799366931222975369462793645035741318294904329772854816874024162474889474728547,d+1,140,0.20433
459,40932914170659784938757474620309635620281320153329000579200052799366931222975369462793645035741318294904329772854816874024162474889474728547,557738052,81865828341319569877514949240619271240562640306658001158400105598733862445950738925587290071482636589808659545709633748048324949779507195147,d+1,140,0.00905
460,81865828341319569877514949240619271240562640306658001158400105598733862445950738925587290071482636589808659545709633748048324949779507195147,374497932,163731656682639139755029898481238542481125280613316002316800211197467724891901477851174580142965273179617319091419267496096649899559388888227,d-1,140,0.00602
461,163731656682639139755029898481238542481125280613316002316800211197467724891901477851174580142965273179617319091419267496096649899559388888227,1481620062,327463313365278279510059796962477084962250561226632004633600422394935449783802955702349160285930546359234638182838534992193299799120259396517,d-1,141,0.02360
462,327463313365278279510059796962477084962250561226632004633600422394935449783802955702349160285930546359234638182838534992193299799120259396517,4535999514,654926626730556559020119593924954169924501122453264009267200844789870899567605911404698320571861092718469276365677069984386599598245054792549,d-1,141,0.07162
463,654926626730556559020119593924954169924501122453264009267200844789870899567605911404698320571861092718469276365677069984386599598245054792549,180622302,1309853253461113118040239187849908339849002244906528018534401689579741799135211822809396641143722185436938552731354139968773199196490290207401,d-1,141,0.00283
464,1309853253461113118040239187849908339849002244906528018534401689579741799135211822809396641143722185436938552731354139968773199196490290207401,3709712916,2619706506922226236080478375699816679698004489813056037068803379159483598270423645618793282287444370873877105462708279937546398392984290127719,d+1,142,0.05754
465,2619706506922226236080478375699816679698004489813056037068803379159483598270423645618793282287444370873877105462708279937546398392984290127719,21745908,5239413013844452472160956751399633359396008979626112074137606758318967196540847291237586564574888741747754210925416559875092796785968602001347,d+1,142,0.00033
466,5239413013844452472160956751399633359396008979626112074137606758318967196540847291237586564574888741747754210925416559875092796785968602001347,2017128834,10478826027688904944321913502799266718792017959252224148275213516637934393081694582475173129149777483495508421850833119750185593571939221131529,d-1,142,0.03074
467,10478826027688904944321913502799266718792017959252224148275213516637934393081694582475173129149777483495508421850833119750185593571939221131529,4205703972,20957652055377809888643827005598533437584035918504448296550427033275868786163389164950346258299554966991016843701666239500371187143882647967031,d+1,143,0.06352
468,20957652055377809888643827005598533437584035918504448296550427033275868786163389164950346258299554966991016843701666239500371187143882647967031,1208083908,41915304110755619777287654011197066875168071837008896593100854066551737572326778329900692516599109933982033687403332479000742374287766504017971,d-1,143,0.01808
469,41915304110755619777287654011197066875168071837008896593100854066551737572326778329900692516599109933982033687403332479000742374287766504017971,7722009648,83830608221511239554575308022394133750336143674017793186201708133103475144653556659801385033198219867964067374806664958001484748575540730045591,d+1,143,0.11458
470,83830608221511239554575308022394133750336143674017793186201708133103475144653556659801385033198219867964067374806664958001484748575540730045591,3095204118,167661216443022479109150616044788267500672287348035586372403416266206950289307113319602770066396439735928134749613329916002969497151084555295301,d-1,143,0.04553
471,167661216443022479109150616044788267500672287348035586372403416266206950289307113319602770066396439735928134749613329916002969497151084555295301,10033058616,335322432886044958218301232089576535001344574696071172744806832532413900578614226639205540132792879471856269499226659832005938994302179143649219,d+1,144,0.14628
472,335322432886044958218301232089576535001344574696071172744806832532413900578614226639205540132792879471856269499226659832005938994302179143649219,2352450678,670644865772089916436602464179153070002689149392142345489613665064827801157228453278411080265585758943712538998453319664011877988604360639749117,d+1,144,0.03400
473,670644865772089916436602464179153070002689149392142345489613665064827801157228453278411080265585758943712538998453319664011877988604360639749117,837802662,1341289731544179832873204928358306140005378298784284690979227330129655602314456906556822160531171517887425077996906639328023755977208722117300897,d-1,144,0.01200
474,1341289731544179832873204928358306140005378298784284690979227330129655602314456906556822160531171517887425077996906639328023755977208722117300897,3360197502,2682579463088359665746409856716612280010756597568569381958454660259311204628913813113644321062343035774850155993813278656047511954417447594799297,d-1,145,0.04772
475,2682579463088359665746409856716612280010756597568569381958454660259311204628913813113644321062343035774850155993813278656047511954417447594799297,1428237402,5365158926176719331492819713433224560021513195137138763916909320518622409257827626227288642124686071549700311987626557312095023908834896617835997,d-1,145,0.02011
476,5365158926176719331492819713433224560021513195137138763916909320518622409257827626227288642124686071549700311987626557312095023908834896617835997,5776554162,10730317852353438662985639426866449120043026390274277527833818641037244818515655252454577284249372143099400623975253114624190047817669799012226157,d+1,145,0.08063
477,10730317852353438662985639426866449120043026390274277527833818641037244818515655252454577284249372143099400623975253114624190047817669799012226157,3594209694,21460635704706877325971278853732898240086052780548555055667637282074489637031310504909154568498744286198801247950506229248380095635339601618662009,d-1,146,0.04973
478,21460635704706877325971278853732898240086052780548555055667637282074489637031310504909154568498744286198801247950506229248380095635339601618662009,1773112242,42921271409413754651942557707465796480172105561097110111335274564148979274062621009818309136997488572397602495901012458496760191270679205010436261,d-1,146,0.02432
479,42921271409413754651942557707465796480172105561097110111335274564148979274062621009818309136997488572397602495901012458496760191270679205010436261,3204986538,85842542818827509303885115414931592960344211122194220222670549128297958548125242019636618273994977144795204991802024916993520382541358413225859061,d-1,146,0.04359
480,85842542818827509303885115414931592960344211122194220222670549128297958548125242019636618273994977144795204991802024916993520382541358413225859061,3547611408,171685085637655018607770230829863185920688422244388440445341098256595917096250484039273236547989954289590409983604049833987040765082716829999329531,d+1,146,0.04783
481,171685085637655018607770230829863185920688422244388440445341098256595917096250484039273236547989954289590409983604049833987040765082716829999329531,7195838718,343370171275310037215540461659726371841376844488776880890682196513191834192500968078546473095979908579180819967208099667974081530165433667194497781,d-1,147,0.09619
482,343370171275310037215540461659726371841376844488776880890682196513191834192500968078546473095979908579180819967208099667974081530165433667194497781,695851908,686740342550620074431080923319452743682753688977553761781364393026383668385001936157092946191959817158361639934416199335948163060330867335084847471,d+1,147,0.00922
483,686740342550620074431080923319452743682753688977553761781364393026383668385001936157092946191959817158361639934416199335948163060330867335084847471,198980136,1373480685101240148862161846638905487365507377955107523562728786052767336770003872314185892383919634316723279868832398671896326120661734670368675079,d+1,147,0.00261
484,1373480685101240148862161846638905487365507377955107523562728786052767336770003872314185892383919634316723279868832398671896326120661734670368675079,543017220,2746961370202480297724323693277810974731014755910215047125457572105534673540007744628371784767839268633446559737664797343792652241323469341280367379,both,148,0.00708
485,2746961370202480297724323693277810974731014755910215047125457572105534673540007744628371784767839268633446559737664797343792652241323469341280367379,247316508,5493922740404960595448647386555621949462029511820430094250915144211069347080015489256743569535678537266893119475329594687585304482646938682808051267,d-1,148,0.00319
486,5493922740404960595448647386555621949462029511820430094250915144211069347080015489256743569535678537266893119475329594687585304482646938682808051267,855767814,10987845480809921190897294773111243898924059023640860188501830288422138694160030978513487139071357074533786238950659189375170608965293877366471870349,d-1,148,0.01096
487,10987845480809921190897294773111243898924059023640860188501830288422138694160030978513487139071357074533786238950659189375170608965293877366471870349,1344299820,21975690961619842381794589546222487797848118047281720377003660576844277388320061957026974278142714149067572477901318378750341217930587754734288040519,d+1,149,0.01707
488,21975690961619842381794589546222487797848118047281720377003660576844277388320061957026974278142714149067572477901318378750341217930587754734288040519,2073620148,43951381923239684763589179092444975595696236094563440754007321153688554776640123914053948556285428298135144955802636757500682435861175509470649701187,d+1,149,0.02611
489,43951381923239684763589179092444975595696236094563440754007321153688554776640123914053948556285428298135144955802636757500682435861175509470649701187,1181840592,87902763846479369527178358184889951191392472189126881508014642307377109553280247828107897112570856596270289911605273515001364871722351018942481242967,both,149,0.01476
490,87902763846479369527178358184889951191392472189126881508014642307377109553280247828107897112570856596270289911605273515001364871722351018942481242967,173259552,175805527692958739054356716369779902382784944378253763016029284614754219106560495656215794225141713192540579823210547030002729743444702037885135745487,d+1,149,0.00215
491,175805527692958739054356716369779902382784944378253763016029284614754219106560495656215794225141713192540579823210547030002729743444702037885135745487,1004367774,351611055385917478108713432739559804765569888756507526032058569229508438213120991312431588450283426385081159646421094060005459486889404075771275858749,d-1,150,0.01233
492,351611055385917478108713432739559804765569888756507526032058569229508438213120991312431588450283426385081159646421094060005459486889404075771275858749,8948422038,703222110771834956217426865479119609531139777513015052064117138459016876426241982624863176900566852770162319292842188120010918973778808151551500139537,d-1,150,0.10896
493,703222110771834956217426865479119609531139777513015052064117138459016876426241982624863176900566852770162319292842188120010918973778808151551500139537,5046863562,1406444221543669912434853730958239219062279555026030104128234276918033752852483965249726353801133705540324638585684376240021837947557616303108047142637,d-1,150,0.06094
494,1406444221543669912434853730958239219062279555026030104128234276918033752852483965249726353801133705540324638585684376240021837947557616303108047142637,27519220164,2812888443087339824869707461916478438124559110052060208256468553836067505704967930499452707602267411080649277171368752480043675895115232606243613505439,d-1,151,0.32950
495,2812888443087339824869707461916478438124559110052060208256468553836067505704967930499452707602267411080649277171368752480043675895115232606243613505439,650096958,5625776886174679649739414923832956876249118220104120416512937107672135011409935860998905415204534822161298554342737504960087351790230465212487877107837,d-1,151,0.00772
496,5625776886174679649739414923832956876249118220104120416512937107672135011409935860998905415204534822161298554342737504960087351790230465212487877107837,4263524772,11251553772349359299478829847665913752498236440208240833025874215344270022819871721997810830409069644322597108685475009920174703580460930424980017740447,d+1,151,0.05020
497,11251553772349359299478829847665913752498236440208240833025874215344270022819871721997810830409069644322597108685475009920174703580460930424980017740447,11776407954,22503107544698718598957659695331827504996472880416481666051748430688540045639743443995621660818139288645194217370950019840349407160921860849971811888849,d-1,152,0.13752
498,22503107544698718598957659695331827504996472880416481666051748430688540045639743443995621660818139288645194217370950019840349407160921860849971811888849,660951012,45006215089397437197915319390663655009992945760832963332103496861377080091279486887991243321636278577290388434741900039680698814321843721699944284728711,d+1,152,0.00765
499,45006215089397437197915319390663655009992945760832963332103496861377080091279486887991243321636278577290388434741900039680698814321843721699944284728711,2737108878,90012430178794874395830638781327310019985891521665926664206993722754160182558973775982486643272557154580776869483800079361397628643687443399891306566301,d+1,152,0.03144
500,90012430178794874395830638781327310019985891521665926664206993722754160182558973775982486643272557154580776869483800079361397628643687443399891306566301,7770507048,180024860357589748791661277562654620039971783043331853328413987445508320365117947551964973286545114309161553738967600158722795257287374886799790383639651,both,152,0.08851
501,180024860357589748791661277562654620039971783043331853328413987445508320365117947551964973286545114309161553738967600158722795257287374886799790383639651,10239351468,360049720715179497583322555125309240079943566086663706656827974891016640730235895103929946573090228618323107477935200317445590514574749773599591006630771,d+1,153,0.11568
502,360049720715179497583322555125309240079943566086663706656827974891016640730235895103929946573090228618323107477935200317445590514574749773599591006630771,2725112148,720099441430358995166645110250618480159887132173327413313655949782033281460471790207859893146180457236646214955870400634891181029149499547199184738373691,both,153,0.03053
503,720099441430358995166645110250618480159887132173327413313655949782033281460471790207859893146180457236646214955870400634891181029149499547199184738373691,194270268,1440198882860717990333290220501236960319774264346654826627311899564066562920943580415719786292360914473292429911740801269782362058298999094398369671017651,d-1,153,0.00216
504,1440198882860717990333290220501236960319774264346654826627311899564066562920943580415719786292360914473292429911740801269782362058298999094398369671017651,5180407758,2880397765721435980666580441002473920639548528693309653254623799128133125841887160831439572584721828946584859823481602539564724116597998188796744522443061,d+1,154,0.05710
505,2880397765721435980666580441002473920639548528693309653254623799128133125841887160831439572584721828946584859823481602539564724116597998188796744522443061,2182399758,5760795531442871961333160882004947841279097057386619306509247598256266251683774321662879145169443657893169719646963205079129448233195996377593491227285881,d-1,154,0.02386
506,5760795531442871961333160882004947841279097057386619306509247598256266251683774321662879145169443657893169719646963205079129448233195996377593491227285881,8471303058,11521591062885743922666321764009895682558194114773238613018495196512532503367548643325758290338887315786339439293926410158258896466391992755186990925874821,d+1,154,0.09186
507,11521591062885743922666321764009895682558194114773238613018495196512532503367548643325758290338887315786339439293926410158258896466391992755186990925874821,17294448,23043182125771487845332643528019791365116388229546477226036990393025065006735097286651516580677774631572678878587852820316517792932783985510373981869044091,d-1,155,0.00019
508,23043182125771487845332643528019791365116388229546477226036990393025065006735097286651516580677774631572678878587852820316517792932783985510373981869044091,543371796,46086364251542975690665287056039582730232776459092954452073980786050130013470194573303033161355549263145357757175705640633035585865567971020747964281459979,d+1,155,0.00580
509,46086364251542975690665287056039582730232776459092954452073980786050130013470194573303033161355549263145357757175705640633035585865567971020747964281459979,2310122778,92172728503085951381330574112079165460465552918185908904147961572100260026940389146606066322711098526290715514351411281266071171731135942041495930873042737,d-1,155,0.02445
510,92172728503085951381330574112079165460465552918185908904147961572100260026940389146606066322711098526290715514351411281266071171731135942041495930873042737,7787104974,184345457006171902762661148224158330920931105836371817808295923144200520053880778293212132645422197052581431028702822562532142343462271884082991869533190449,d-1,155,0.08174
511,184345457006171902762661148224158330920931105836371817808295923144200520053880778293212132645422197052581431028702822562532142343462271884082991869533190449,420336918,368690914012343805525322296448316661841862211672743635616591846288401040107761556586424265290844394105162862057405645125064284686924543768165983739486717817,d+1,156,0.00438
512,368690914012343805525322296448316661841862211672743635616591846288401040107761556586424265290844394105162862057405645125064284686924543768165983739486717817,2120425782,737381828024687611050644592896633323683724423345487271233183692576802080215523113172848530581688788210325724114811290250128569373849087536331967481093861417,d-1,156,0.02190
513,737381828024687611050644592896633323683724423345487271233183692576802080215523113172848530581688788210325724114811290250128569373849087536331967481093861417,1234398102,1474763656049375222101289185793266647367448846690974542466367385153604160431046226345697061163377576420651448229622580500257138747698175072663934963422120937,d+1,156,0.01265
514,1474763656049375222101289185793266647367448846690974542466367385153604160431046226345697061163377576420651448229622580500257138747698175072663934963422120937,5335992444,2949527312098750444202578371586533294734897693381949084932734770307208320862092452691394122326755152841302896459245161000514277495396350145327869932180234319,d-1,157,0.05423
515,2949527312098750444202578371586533294734897693381949084932734770307208320862092452691394122326755152841302896459245161000514277495396350145327869932180234319,1982583012,5899054624197500888405156743173066589469795386763898169865469540614416641724184905382788244653510305682605792918490322001028554990792700290655739866343051651,both,157,0.01999
516,5899054624197500888405156743173066589469795386763898169865469540614416641724184905382788244653510305682605792918490322001028554990792700290655739866343051651,8665903548,11798109248395001776810313486346133178939590773527796339730939081228833283448369810765576489307020611365211585836980644002057109981585400581311479741352006851,d+1,157,0.08667
517,11798109248395001776810313486346133178939590773527796339730939081228833283448369810765576489307020611365211585836980644002057109981585400581311479741352006851,475759698,23596218496790003553620626972692266357879181547055592679461878162457666566896739621531152978614041222730423171673961288004114219963170801162622959483179773401,d+1,158,0.00472
518,23596218496790003553620626972692266357879181547055592679461878162457666566896739621531152978614041222730423171673961288004114219963170801162622959483179773401,260144628,47192436993580007107241253945384532715758363094111185358923756324915333133793479243062305957228082445460846343347922576008228439926341602325245918966619691431,d-1,158,0.00256
519,47192436993580007107241253945384532715758363094111185358923756324915333133793479243062305957228082445460846343347922576008228439926341602325245918966619691431,3193797168,94384873987160014214482507890769065431516726188222370717847512649830666267586958486124611914456164890921692686695845152016456879852683204650491837936433180031,d+1,158,0.03119
520,94384873987160014214482507890769065431516726188222370717847512649830666267586958486124611914456164890921692686695845152016456879852683204650491837936433180031,150132528,188769747974320028428965015781538130863033452376444741435695025299661332535173916972249223828912329781843385373391690304032913759705366409300983675873016492591,d-1,158,0.00145
521,188769747974320028428965015781538130863033452376444741435695025299661332535173916972249223828912329781843385373391690304032913759705366409300983675873016492591,4052360106,377539495948640056857930031563076261726066904752889482871390050599322665070347833944498447657824659563686770746783380608065827519410732818601967351750085345289,d+1,159,0.03895
522,377539495948640056857930031563076261726066904752889482871390050599322665070347833944498447657824659563686770746783380608065827519410732818601967351750085345289,6489458298,755078991897280113715860063126152523452133809505778965742780101198645330140695667888996895315649319127373541493566761216131655038821465637203934703506660148877,d+1,159,0.06187
523,755078991897280113715860063126152523452133809505778965742780101198645330140695667888996895315649319127373541493566761216131655038821465637203934703506660148877,2466144732,1510157983794560227431720126252305046904267619011557931485560202397290660281391335777993790631298638254747082987133522432263310077642931274407869407015786442487,d-1,159,0.02333
524,1510157983794560227431720126252305046904267619011557931485560202397290660281391335777993790631298638254747082987133522432263310077642931274407869407015786442487,18080263932,3020315967589120454863440252504610093808535238023115862971120404794581320562782671555987581262597276509494165974267044864526620155285862548815738814049653148907,d-1,160,0.16969
525,3020315967589120454863440252504610093808535238023115862971120404794581320562782671555987581262597276509494165974267044864526620155285862548815738814049653148907,151947282,6040631935178240909726880505009220187617070476046231725942240809589162641125565343111975162525194553018988331948534089729053240310571725097631477628099458245097,both,160,0.00141
526,6040631935178240909726880505009220187617070476046231725942240809589162641125565343111975162525194553018988331948534089729053240310571725097631477628099458245097,6154162752,12081263870356481819453761010018440375234140952092463451884481619178325282251130686223950325050389106037976663897068179458106480621143450195262955256205070652947,d+1,160,0.05686
527,12081263870356481819453761010018440375234140952092463451884481619178325282251130686223950325050389106037976663897068179458106480621143450195262955256205070652947,18558409404,24162527740712963638907522020036880750468281904184926903768963238356650564502261372447900650100778212075953327794136358916212961242286900390525910512428699715299,d-1,161,0.17011
528,24162527740712963638907522020036880750468281904184926903768963238356650564502261372447900650100778212075953327794136358916212961242286900390525910512428699715299,785331072,48325055481425927277815044040073761500936563808369853807537926476713301129004522744895801300201556424151906655588272717832425922484573800781051821024858184761671,d+1,161,0.00714
529,48325055481425927277815044040073761500936563808369853807537926476713301129004522744895801300201556424151906655588272717832425922484573800781051821024858184761671,5113593096,96650110962851854555630088080147523001873127616739707615075852953426602258009045489791602600403112848303813311176545435664851844969147601562103642049721483116439,d+1,161,0.04615
530,96650110962851854555630088080147523001873127616739707615075852953426602258009045489791602600403112848303813311176545435664851844969147601562103642049721483116439,1519010922,193300221925703709111260176160295046003746255233479415230151705906853204516018090979583205200806225696607626622353090871329703689938295203124207284099444485243801,d-1,161,0.01360
531,193300221925703709111260176160295046003746255233479415230151705906853204516018090979583205200806225696607626622353090871329703689938295203124207284099444485243801,1291315026,386600443851407418222520352320590092007492510466958830460303411813706409032036181959166410401612451393215253244706181742659407379876590406248414568198890261802629,d+1,162,0.01147
532,386600443851407418222520352320590092007492510466958830460303411813706409032036181959166410401612451393215253244706181742659407379876590406248414568198890261802629,12200360790,773200887702814836445040704641180184014985020933917660920606823627412818064072363918332820803224902786430506489412363485318814759753180812496829136397792723966049,d-1,162,0.10755
533,773200887702814836445040704641180184014985020933917660920606823627412818064072363918332820803224902786430506489412363485318814759753180812496829136397792723966049,2830173318,1546401775405629672890081409282360368029970041867835321841213647254825636128144727836665641606449805572861012978824726970637629519506361624993658272795588278105417,d-1,162,0.02476
534,1546401775405629672890081409282360368029970041867835321841213647254825636128144727836665641606449805572861012978824726970637629519506361624993658272795588278105417,2731327152,3092803550811259345780162818564720736059940083735670643682427294509651272256289455673331283212899611145722025957649453941275259039012723249987316545591179287537987,d+1,163,0.02371
535,3092803550811259345780162818564720736059940083735670643682427294509651272256289455673331283212899611145722025957649453941275259039012723249987316545591179287537987,2635733604,6185607101622518691560325637129441472119880167471341287364854589019302544512578911346662566425799222291444051915298907882550518078025446499974633091182361210809579,d-1,163,0.02270
536,6185607101622518691560325637129441472119880167471341287364854589019302544512578911346662566425799222291444051915298907882550518078025446499974633091182361210809579,692314002,12371214203245037383120651274258882944239760334942682574729709178038605089025157822693325132851598444582888103830597815765101036156050892999949266182364723113933161,d+1,163,0.00592
537,12371214203245037383120651274258882944239760334942682574729709178038605089025157822693325132851598444582888103830597815765101036156050892999949266182364723113933161,4240649028,24742428406490074766241302548517765888479520669885365149459418356077210178050315645386650265703196889165776207661195631530202072312101785999898532364729450468515351,d-1,164,0.03597
538,24742428406490074766241302548517765888479520669885365149459418356077210178050315645386650265703196889165776207661195631530202072312101785999898532364729450468515351,1866293808,49484856812980149532482605097035531776959041339770730298918836712154420356100631290773300531406393778331552415322391263060404144624203571999797064729458902803324511,d+1,164,0.01571
539,49484856812980149532482605097035531776959041339770730298918836712154420356100631290773300531406393778331552415322391263060404144624203571999797064729458902803324511,794515296,98969713625960299064965210194071063553918082679541460597837673424308840712201262581546601062812787556663104830644782526120808289248407143999594129458917806401164319,d+1,164,0.00664
540,98969713625960299064965210194071063553918082679541460597837673424308840712201262581546601062812787556663104830644782526120808289248407143999594129458917806401164319,3317109870,197939427251920598129930420388142127107836165359082921195675346848617681424402525163093202125625575113326209661289565052241616578496814287999188258917835616119438509,d-1,164,0.02749
541,197939427251920598129930420388142127107836165359082921195675346848617681424402525163093202125625575113326209661289565052241616578496814287999188258917835616119438509,1312666182,395878854503841196259860840776284254215672330718165842391350693697235362848805050326186404251251150226652419322579130104483233156993628575998376517835671233551543201,d+1,165,0.01080
542,395878854503841196259860840776284254215672330718165842391350693697235362848805050326186404251251150226652419322579130104483233156993628575998376517835671233551543201,355562298,791757709007682392519721681552568508431344661436331684782701387394470725697610100652372808502502300453304838645158260208966466313987257151996753035671342467458648701,d+1,165,0.00290
543,791757709007682392519721681552568508431344661436331684782701387394470725697610100652372808502502300453304838645158260208966466313987257151996753035671342467458648701,2664997698,1583515418015364785039443363105137016862689322872663369565402774788941451395220201304745617005004600906609677290316520417932932627974514303993506071342684937582295101,d-1,165,0.02159
544,1583515418015364785039443363105137016862689322872663369565402774788941451395220201304745617005004600906609677290316520417932932627974514303993506071342684937582295101,1631297778,3167030836030729570078886726210274033725378645745326739130805549577882902790440402609491234010009201813219354580633040835865865255949028607987012142685369876795887981,d-1,166,0.01311
545,3167030836030729570078886726210274033725378645745326739130805549577882902790440402609491234010009201813219354580633040835865865255949028607987012142685369876795887981,3836295906,6334061672061459140157773452420548067450757291490653478261611099155765805580880805218982468020018403626438709161266081671731730511898057215974024285370739757428071869,d+1,166,0.03061
546,6334061672061459140157773452420548067450757291490653478261611099155765805580880805218982468020018403626438709161266081671731730511898057215974024285370739757428071869,4728491532,12668123344122918280315546904841096134901514582981306956523222198311531611161761610437964936040036807252877418322532163343463461023796114431948048570741479519584635271,d-1,166,0.03744
547,12668123344122918280315546904841096134901514582981306956523222198311531611161761610437964936040036807252877418322532163343463461023796114431948048570741479519584635271,792094428,25336246688245836560631093809682192269803029165962613913046444396623063222323523220875929872080073614505754836645064326686926922047592228863896097141482959039961364971,d-1,167,0.00622
548,25336246688245836560631093809682192269803029165962613913046444396623063222323523220875929872080073614505754836645064326686926922047592228863896097141482959039961364971,6554012946,50672493376491673121262187619364384539606058331925227826092888793246126444647046441751859744160147229011509673290128653373853844095184457727792194282965918086476742889,d+1,167,0.05112
549,50672493376491673121262187619364384539606058331925227826092888793246126444647046441751859744160147229011509673290128653373853844095184457727792194282965918086476742889,190827318,101344986752983346242524375238728769079212116663850455652185777586492252889294092883503719488320294458023019346580257306747707688190368915455584388565931836173144313097,d+1,167,0.00148
550,101344986752983346242524375238728769079212116663850455652185777586492252889294092883503719488320294458023019346580257306747707688190368915455584388565931836173144313097,790585332,202689973505966692485048750477457538158424233327700911304371555172984505778588185767007438976640588916046038693160514613495415376380737830911168777131863672347079211527,d+1,168,0.00607
551,202689973505966692485048750477457538158424233327700911304371555172984505778588185767007438976640588916046038693160514613495415376380737830911168777131863672347079211527,984030492,405379947011933384970097500954915076316848466655401822608743110345969011557176371534014877953281177832092077386321029226990830752761475661822337554263727344695142453547,d-1,168,0.00750
552,405379947011933384970097500954915076316848466655401822608743110345969011557176371534014877953281177832092077386321029226990830752761475661822337554263727344695142453547,1424417934,810759894023866769940195001909830152633696933310803645217486220691938023114352743068029755906562355664184154772642058453981661505522951323644675108527454689391709325029,d-1,168,0.01078
553,810759894023866769940195001909830152633696933310803645217486220691938023114352743068029755906562355664184154772642058453981661505522951323644675108527454689391709325029,864267180,1621519788047733539880390003819660305267393866621607290434972441383876046228705486136059511813124711328368309545284116907963323011045902647289350217054909378784282917239,d-1,168,0.00649
554,1621519788047733539880390003819660305267393866621607290434972441383876046228705486136059511813124711328368309545284116907963323011045902647289350217054909378784282917239,7281959880,3243039576095467079760780007639320610534787733243214580869944882767752092457410972272119023626249422656736619090568233815926646022091805294578700434109818757575847794359,d-1,169,0.05430
555,3243039576095467079760780007639320610534787733243214580869944882767752092457410972272119023626249422656736619090568233815926646022091805294578700434109818757575847794359,4219288938,6486079152190934159521560015278641221069575466486429161739889765535504184914821944544238047252498845313473238181136467631853292044183610589157400868219637515155914877657,d-1,169,0.03123
556,6486079152190934159521560015278641221069575466486429161739889765535504184914821944544238047252498845313473238181136467631853292044183610589157400868219637515155914877657,8416300644,12972158304381868319043120030557282442139150932972858323479779531071008369829643889088476094504997690626946476362272935263706584088367221178314801736439275030320246055959,d-1,169,0.06183
557,12972158304381868319043120030557282442139150932972858323479779531071008369829643889088476094504997690626946476362272935263706584088367221178314801736439275030320246055959,5066573130,25944316608763736638086240061114564884278301865945716646959559062142016739659287778176952189009995381253892952724545870527413168176734442356629603472878550060645558685049,d-1,170,0.03695
558,25944316608763736638086240061114564884278301865945716646959559062142016739659287778176952189009995381253892952724545870527413168176734442356629603472878550060645558685049,3454374612,51888633217527473276172480122229129768556603731891433293919118124284033479318575556353904378019990762507785905449091741054826336353468884713259206945757100121294571744711,d-1,170,0.02500
559,51888633217527473276172480122229129768556603731891433293919118124284033479318575556353904378019990762507785905449091741054826336353468884713259206945757100121294571744711,54482746188,103777266435054946552344960244458259537113207463782866587838236248568066958637151112707808756039981525015571810898183482109652672706937769426518413891514200242643626235611,d+1,170,0.39145
560,103777266435054946552344960244458259537113207463782866587838236248568066958637151112707808756039981525015571810898183482109652672706937769426518413891514200242643626235611,4200237348,207554532870109893104689920488916519074226414927565733175676472497136133917274302225415617512079963050031143621796366964219305345413875538853036827783028400485291452708571,d-1,171,0.02996
561,207554532870109893104689920488916519074226414927565733175676472497136133917274302225415617512079963050031143621796366964219305345413875538853036827783028400485291452708571,2091171408,415109065740219786209379840977833038148452829855131466351352944994272267834548604450831235024159926100062287243592733928438610690827751077706073655566056800970584996588551,d+1,171,0.01480
562,415109065740219786209379840977833038148452829855131466351352944994272267834548604450831235024159926100062287243592733928438610690827751077706073655566056800970584996588551,9272047116,830218131480439572418759681955666076296905659710262932702705889988544535669097208901662470048319852200124574487185467856877221381655502155412147311132113601941179265224219,d+1,171,0.06516
563,830218131480439572418759681955666076296905659710262932702705889988544535669097208901662470048319852200124574487185467856877221381655502155412147311132113601941179265224219,1422168492,1660436262960879144837519363911332152593811319420525865405411779977089071338194417803324940096639704400249148974370935713754442763311004310824294622264227203882359952616931,d-1,171,0.00992
