step,t,d,C,side,digits,norm4
105,1115460509908287381060950409118769,17379552,2230921019816574762121900835617091,d+1,34,0.11966
106,2230921019816574762121900835617091,1741386,4461842039633149524243801672975569,d+1,34,0.01154
107,4461842039633149524243801672975569,1307700,8923684079266299048487603347258839,d+1,34,0.00834
108,8923684079266299048487603347258839,452628,17847368158532598096975206694970307,d+1,34,0.00278
109,17847368158532598096975206694970307,14597274,35694736317065196193950413404537889,d-1,35,0.08638
110,35694736317065196193950413404537889,15469758,71389472634130392387900826824545537,d+1,35,0.08822
111,71389472634130392387900826824545537,9655602,142778945268260784775801653658746677,d+1,35,0.05308
112,142778945268260784775801653658746677,60802662,285557890536521569551603307378296017,d+1,36,0.32232
113,285557890536521569551603307378296017,2038944,571115781073043139103206614758630979,d-1,36,0.01043
114,571115781073043139103206614758630979,73122,1142231562146086278206413229517335081,d-1,36,0.00036
115,1142231562146086278206413229517335081,36703986,2284463124292172556412826459071374149,d+1,37,0.17479
116,2284463124292172556412826459071374149,3453738,4568926248584345112825652918146202037,d+1,37,0.01588
117,4568926248584345112825652918146202037,17792862,9137852497168690225651305836310196937,d-1,37,0.07901
118,9137852497168690225651305836310196937,2834502,18275704994337380451302611672623228377,d-1,37,0.01216
119,18275704994337380451302611672623228377,10234842,36551409988674760902605223345256691597,both,38,0.04242
120,36551409988674760902605223345256691597,24923124,73102819977349521805210446690538306319,d-1,38,0.09985
121,73102819977349521805210446690538306319,13020648,146205639954699043610420893381089633287,both,38,0.05044
122,146205639954699043610420893381089633287,10457814,292411279909398087220841786762189724389,d-1,39,0.03918
123,292411279909398087220841786762189724389,3835488,584822559818796174441683573524383284267,d-1,39,0.01390
124,584822559818796174441683573524383284267,185304,1169645119637592348883367147048766753839,d-1,39,0.00065
125,1169645119637592348883367147048766753839,2403342,2339290239275184697766734294097535911021,d+1,40,0.00816
126,2339290239275184697766734294097535911021,20292528,4678580478550369395533468588195092114571,d-1,40,0.06668
127,4678580478550369395533468588195092114571,10681896,9357160957100738791066937176390194911039,d+1,40,0.03399
128,9357160957100738791066937176390194911039,6569010,18714321914201477582133874352780396391089,both,40,0.02024
129,18714321914201477582133874352780396391089,5596812,37428643828402955164267748705560798378991,d+1,41,0.01671
130,37428643828402955164267748705560798378991,496548,74857287656805910328535497411121597254531,d+1,41,0.00144
131,74857287656805910328535497411121597254531,3621726,149714575313611820657070994822243198130789,d+1,41,0.01016
132,149714575313611820657070994822243198130789,18631308,299429150627223641314141989644486414892887,d+1,42,0.05066
133,299429150627223641314141989644486414892887,6547974,598858301254447282628283979288972836333749,d-1,42,0.01726
134,598858301254447282628283979288972836333749,20462148,1197716602508894565256567958577945693129647,d+1,42,0.05233
135,1197716602508894565256567958577945693129647,32307954,2395433205017789130513135917155891418567249,d-1,43,0.08016
136,2395433205017789130513135917155891418567249,5232738,4790866410035578261026271834311782842367237,d-1,43,0.01260
137,4790866410035578261026271834311782842367237,6819582,9581732820071156522052543668623565691554057,d+1,43,0.01594
138,9581732820071156522052543668623565691554057,3936042,19163465640142313044105087337247131387044157,d+1,43,0.00893
139,19163465640142313044105087337247131387044157,72179904,38326931280284626088210174674494262846268219,d-1,44,0.15899
140,38326931280284626088210174674494262846268219,57750,76653862560569252176420349348988525692594189,d+1,44,0.00012
141,76653862560569252176420349348988525692594189,13471032,153307725121138504352840698697977051398659411,d+1,44,0.02799
142,153307725121138504352840698697977051398659411,5552148,306615450242277008705681397395954102802870971,d-1,45,0.01121
143,306615450242277008705681397395954102802870971,53177088,613230900484554017411362794791908205658919031,d-1,45,0.10434
144,613230900484554017411362794791908205658919031,2563386,1226461800969108034822725589583816411320401449,d+1,45,0.00489
145,1226461800969108034822725589583816411320401449,27019128,2452923601938216069645451179167632822667822027,d-1,46,0.05009
146,2452923601938216069645451179167632822667822027,24572202,4905847203876432139290902358335265645360216257,d-1,46,0.04430
147,4905847203876432139290902358335265645360216257,124970094,9811694407752864278581804716670531290845402609,d-1,46,0.21909
148,9811694407752864278581804716670531290845402609,1757340,19623388815505728557163609433341062581692562559,d-1,46,0.00300
149,19623388815505728557163609433341062581692562559,34537668,39246777631011457114327218866682125163419662787,d+1,47,0.05730
150,39246777631011457114327218866682125163419662787,46859712,78493555262022914228654437733364250326886185287,both,47,0.07565
151,78493555262022914228654437733364250326886185287,44852322,156987110524045828457308875466728500653817222897,d-1,47,0.07047
152,156987110524045828457308875466728500653817222897,267700182,313974221048091656914617750933457001307902145977,d+1,48,0.40940
153,313974221048091656914617750933457001307902145977,6069984,627948442096183313829235501866914002615810361939,d-1,48,0.00904
154,627948442096183313829235501866914002615810361939,3438798,1255896884192366627658471003733828005231624162677,d-1,48,0.00499
155,1255896884192366627658471003733828005231624162677,5198874,2511793768384733255316942007467656010463253524229,d-1,49,0.00734
156,2511793768384733255316942007467656010463253524229,23048982,5023587536769466510633884014935312020926530097441,d-1,49,0.03170
157,5023587536769466510633884014935312020926530097441,144399948,10047175073538933021267768029870624041853204594831,d+1,49,0.19348
158,10047175073538933021267768029870624041853204594831,53400966,20094350147077866042535536059741248083706462590629,d+1,50,0.06972
159,20094350147077866042535536059741248083706462590629,45313572,40188700294155732085071072119482496167412970494831,d-1,50,0.05765
160,40188700294155732085071072119482496167412970494831,129417018,80377400588311464170142144238964992334826070406681,d-1,50,0.16049
161,80377400588311464170142144238964992334826070406681,65023878,160754801176622928340284288477929984669652205837241,both,50,0.07861
162,160754801176622928340284288477929984669652205837241,148255908,321509602353245856680568576955859969339304559930391,d+1,51,0.17475
163,321509602353245856680568576955859969339304559930391,23796258,643019204706491713361137153911719938678609143657041,d-1,51,0.02735
