digits,t,d,side,norm4,model_mean,survival
20,71049687887199140297,4534722,d-1,0.27176,1242034.4,0.032125
20,92650492839303955679,651102,d+1,0.03807,489977.5,0.261243
20,88547039812666139291,1421226,d+1,0.08345,853490.7,0.190993
20,98601538130113962497,492672,both,0.02864,991897.7,0.583535
20,94621808384426528141,1239516,d+1,0.07233,515703.1,0.097315
20,82755133132612523069,83832,d+1,0.00495,467202.3,0.810311
20,17324880464254279661,290496,d+1,0.01990,1355186.0,0.779592
20,68205597152612628851,633408,d-1,0.03810,758028.9,0.417250
20,17584954022889633797,15822,d+1,0.00108,563146.7,0.961607
20,82920217561165948037,2084004,d-1,0.12311,692347.0,0.056569
20,24689995547346251189,448032,d-1,0.02967,356738.3,0.279813
20,78974331786355805249,565590,d-1,0.03356,615285.1,0.385016
20,46374896823535484327,39864,d-1,0.00249,1083109.5,0.951385
20,88888035937256157659,185550,d+1,0.01089,570390.9,0.694811
20,95954150424250295129,46602,d-1,0.00272,473144.6,0.885908
20,42080139224087744537,255312,d+1,0.01607,1015631.3,0.749091
20,18125284910574768149,726990,both,0.04958,325083.4,0.112985
20,23757442522511591141,458748,d-1,0.03049,1433461.7,0.697756
20,61097972899309391987,824802,d-1,0.05013,970262.9,0.411949
20,38515181727648783167,1149882,d-1,0.07299,1037341.0,0.321507
20,84962874358712079449,191298,both,0.01127,416960.2,0.606568
20,12679880377667615681,1865268,d-1,0.13168,1248870.3,0.224025
20,73438298216292106457,573852,d-1,0.03428,1628767.3,0.675142
20,33722046831615496637,1450392,d-1,0.09323,1261029.3,0.309134
20,13000997613249531551,381048,d-1,0.02684,855662.5,0.613853
20,85823974535201801849,400722,both,0.02360,349308.9,0.310168
20,56045114754042156971,2101008,d-1,0.12873,950523.4,0.115825
20,20959538607632723321,334638,d-1,0.02251,662888.3,0.578272
20,32846270012605983959,899070,d-1,0.05793,344324.2,0.080437
20,37033668192054052511,39798,d+1,0.00254,722925.1,0.930750
20,10777144668234572669,279120,both,0.02002,282559.9,0.361097
20,14950329721511739479,82278,d+1,0.00572,354735.5,0.766042
20,48042659524623109271,751206,d+1,0.04670,2025132.5,0.662702
20,37197349241178467387,934122,d-1,0.05949,1062879.0,0.400718
20,63403188127848506879,444810,d+1,0.02694,583281.6,0.448758
20,91915509486100089329,1876332,both,0.10979,432574.9,0.017433
20,32434521618609053861,1517556,d+1,0.09791,907387.4,0.189760
20,71567110287202952027,79044,d-1,0.00473,777171.9,0.881943
20,89859106378308095009,506628,d+1,0.02971,313236.1,0.199407
20,97215937871075907197,2637582,d-1,0.15353,756560.1,0.037023
20,55134264549453564227,423822,d+1,0.02601,675950.4,0.512006
20,54531533542695282371,390408,d-1,0.02398,669139.6,0.534982
20,27240083315667164819,528882,both,0.03469,752510.6,0.474953
20,57046832572036324607,1336602,d+1,0.08176,2082856.8,0.505203
20,47581918826171694539,85200,both,0.00530,548235.6,0.831572
20,42178593872239559177,242262,d-1,0.01525,1476041.6,0.822996
20,77555786627051151929,2273910,d+1,0.13516,313568.9,0.001412
20,98800605442608969077,186012,d+1,0.01081,1877322.1,0.884740
20,95967513663607086299,174702,d+1,0.01018,622724.8,0.727903
20,55503549964424919239,870210,d+1,0.05337,327727.0,0.077272
20,27791976409323706421,2002386,d+1,0.13110,1399873.5,0.237611
20,80180047792318440749,362220,d+1,0.02146,371503.7,0.365571
20,28446578902645065989,159468,d+1,0.01042,522281.9,0.709114
20,96868274845412275001,810366,d+1,0.04719,671821.9,0.293183
20,40071289521730924307,133812,both,0.00846,1046787.5,0.856519
20,47258169124547016437,484614,d-1,0.03017,726940.6,0.492410
20,32854684952090536187,2309082,d-1,0.14879,1865492.3,0.284730
20,54681267003921481967,19794,d-1,0.00122,722187.8,0.962772
20,77964721381615580987,111534,d-1,0.00663,597683.3,0.803241
20,20717079225156226931,15876,d+1,0.00107,907016.9,0.974925
20,27912230568898424519,135030,d-1,0.00884,415481.6,0.695004
20,51694523624237003087,508512,d+1,0.03139,767847.9,0.494441
20,41762832947206880681,514308,d+1,0.03240,1072672.4,0.593680
20,80520640439514964937,157242,d+1,0.00931,1275848.6,0.860649
20,96014334246206733437,3111282,d-1,0.18131,1950539.8,0.203869
20,94152209427988136651,6030798,both,0.35208,2084692.5,0.062648
20,52662149170199405717,908724,d-1,0.05601,545926.1,0.191055
20,64534773486000543359,106362,d+1,0.00643,307758.8,0.680936
20,28763523049685318471,433308,d+1,0.02828,1667120.3,0.743092
20,88093819334901996479,110580,d+1,0.00650,950706.1,0.867223
