Verification of /tmp/up/twin_gap_chain.csv: 150 steps
  primality beyond 3.19e+23 is probabilistic (gmpy2 BPSW / 12-base Miller-Rabin)

  step  digits(t)          d   side   d/((ln t)^4 lnln t)  d/((ln t)^5 lnln t)  checks     least d     model E[d(t)]  P(d(t)>d)
    80         26   11,127,246   d+1              0.2290             0.00390   OK        =              6,262,232     0.1721
    81         26    1,326,168   d-1              0.0260             0.00044   OK        =              2,589,432     0.5757
    82         27    5,601,882   d-1              0.1044             0.00174   OK        =              4,001,278     0.2446
    83         27      319,314   d-1              0.0057             0.00009   OK        =              3,122,402     0.8833
    84         27      393,162   d-1              0.0067             0.00011   OK        =              1,296,298     0.7133
    85         28      760,458   d-1              0.0123             0.00020   OK        =              3,797,185     0.7937
    86         28    1,518,708   d-1 d+1          0.0234             0.00037   OK        =              3,820,091     0.6476
    87         28    5,776,386   d+1              0.0849             0.00133   OK        =              3,196,824     0.1672
    88         28    2,789,070   d-1              0.0392             0.00061   OK        =              2,259,101     0.2858
    89         29      296,988   d-1              0.0040             0.00006   OK        =              3,710,316     0.9059
    90         29    2,428,992   d-1              0.0312             0.00047   OK        =              4,638,633     0.5701
    91         29    9,527,052   d+1              0.1169             0.00176   OK        =              5,338,694     0.1707
    92         30    4,805,532   d-1 d+1          0.0564             0.00084   OK        =              4,300,282     0.3198
    93         30    1,360,764   d-1              0.0153             0.00023   OK        =              6,650,544     0.7909
    94         30    2,795,118   d+1              0.0301             0.00044   OK        =              1,780,767     0.2084
    95         31    8,183,232   d+1              0.0844             0.00122   OK        =             10,593,558     0.4464
    96         31      389,562   d-1 d+1          0.0039             0.00006   OK        =              5,391,848     0.9148
    97         31    1,117,662   d-1              0.0106             0.00015   OK        =              5,207,715     0.7834
    98         31    8,130,312   d+1              0.0740             0.00104   OK        =              9,228,272     0.4016
    99         32    6,532,692   d+1              0.0571             0.00079   OK        =              6,249,795     0.3429
   100         32    3,278,532   d-1              0.0275             0.00038   OK        =              8,843,882     0.6666
   101         32    4,308,174   d-1              0.0347             0.00047   OK        =              9,016,712     0.5981
   102         33    3,664,482   d+1              0.0284             0.00038   OK        =              2,982,902     0.2878
   103         33      451,158   d+1              0.0034             0.00004   OK        =             10,180,342     0.9448
   104         33    8,009,166   d+1              0.0573             0.00076   OK        =              5,720,745     0.2447
   105         34   17,379,552   d+1              0.1197             0.00157   OK        =              7,942,153     0.1175
   106         34    1,741,386   d+1              0.0115             0.00015   OK        =              6,656,628     0.7461
   107         34    1,307,700   d+1              0.0083             0.00011   OK        =              3,490,611     0.6643
   108         34      452,628   d+1              0.0028             0.00004   OK        =              4,605,077     0.8891
   109         35   14,597,274   d-1              0.0864             0.00110   OK        =              8,274,590     0.1739
   110         35   15,469,758   d+1              0.0882             0.00111   OK        =              4,211,649     0.0304
   111         35    9,655,602   d+1              0.0531             0.00066   OK        =              6,677,456     0.2343
   112         36   60,802,662   d+1              0.3223             0.00398   OK        =             12,729,568     0.0114
   113         36    2,038,944   d-1              0.0104             0.00013   OK        =              7,274,572     0.7318
   114         36       73,122   d-1              0.0004             0.00000   OK        =              5,408,124     0.9815
   115         37   36,703,986   d+1              0.1748             0.00211   OK        =             19,971,719     0.1624
   116         37    3,453,738   d+1              0.0159             0.00019   OK        =             11,069,948     0.7081
   117         37   17,792,862   d-1              0.0790             0.00094   OK        =             10,395,513     0.1826
   118         37    2,834,502   d-1              0.0122             0.00014   OK        =             20,479,279     0.8509
   119         38   10,234,842   d-1 d+1          0.0424             0.00049   OK        =             10,382,738     0.3633
   120         38   24,923,124   d-1              0.0999             0.00115   OK        =             14,318,960     0.1777
   121         38   13,020,648   d-1 d+1          0.0504             0.00058   OK        =              7,807,824     0.1902
   122         39   10,457,814   d-1              0.0392             0.00045   OK        =              6,690,887     0.2098
   123         39    3,835,488   d-1              0.0139             0.00016   OK        =             14,266,894     0.7409
   124         39      185,304   d-1              0.0006             0.00001   OK        =              8,358,770     0.9709
   125         40    2,403,342   d+1              0.0082             0.00009   OK        =             11,843,569     0.7939
   126         40   20,292,528   d-1              0.0667             0.00074   OK        =             25,456,560     0.4366
   127         40   10,681,896   d+1              0.0340             0.00037   OK        =             38,549,277     0.7354
   128         40    6,569,010   d-1 d+1          0.0202             0.00022   OK        =              4,745,109     0.2483
   129         41    5,596,812   d+1              0.0167             0.00018   OK        =              5,713,694     0.3658
   130         41      496,548   d+1              0.0014             0.00002   OK        =             32,034,534     0.9791
   131         41    3,621,726   d+1              0.0102             0.00011   OK        =             22,887,073     0.8332
   132         42   18,631,308   d+1              0.0507             0.00053   OK        =             22,394,979     0.4221
   133         42    6,547,974   d-1              0.0173             0.00018   OK        =             32,671,628     0.7969
   134         42   20,462,148   d+1              0.0523             0.00054   OK        =              9,479,789     0.1203
   135         43   32,307,954   d-1              0.0802             0.00083   OK        =             16,305,923     0.1419
   136         43    5,232,738   d-1              0.0126             0.00013   OK        =              7,431,919     0.4788
   137         43    6,819,582   d+1              0.0159             0.00016   OK        =             15,273,155     0.6184
   138         43    3,936,042   d+1              0.0089             0.00009   OK        =             20,418,242     0.8036
   139         44   72,179,904   d-1              0.1590             0.00160   OK        =             22,068,807     0.0435
   140         44       57,750   d+1              0.0001             0.00000   OK        =              7,650,616     0.9894
   141         44   13,471,032   d+1              0.0280             0.00028   OK        =             18,814,352     0.4728
   142         45    5,552,148   d-1              0.0112             0.00011   OK        =             22,390,135     0.7583
   143         45   53,177,088   d-1              0.1043             0.00102   OK        =             47,209,998     0.3178
   144         45    2,563,386   d+1              0.0049             0.00005   OK        =             25,512,373     0.8880
   145         46   27,019,128   d-1              0.0501             0.00048   OK        =              7,744,302     0.0354
   146         46   24,572,202   d-1              0.0443             0.00042   OK        =             57,248,354     0.6299
   147         46  124,970,094   d-1              0.2191             0.00208   OK        =             54,386,616     0.1058
   148         46    1,757,340   d-1              0.0030             0.00003   OK        =             36,098,103     0.9413
   149         47   34,537,668   d+1              0.0573             0.00054   OK        =             36,507,843     0.3781
   150         47   46,859,712   d-1 d+1          0.0756             0.00071   OK        =             70,629,289     0.4987

  steps failing a check: 0
  mean d/((ln t)^4 lnln t) over all steps : 0.0614   (exhaustive mean to 1e8: 0.0575)
  mean over the 115 steps with t > 1e12 : 0.0463
  max d/((ln t)^5 lnln t) : 0.55562   (Conjecture B' asserts < 1 for every t >= 5)
  max d/t                 : 1.412e+00;  last t has 47 digits

  Poisson model P(d(t) > Y) = exp(-E_t(Y)) with Bateman-Horn E_t, over 150 steps:
    sum(observed d) / sum(model E[d(t)]) : 0.8905   (1 if the model is calibrated)
    mean of P(d(t) > d_observed)          : 0.4971   (0.5 under the model)
    KS distance of those values to U(0,1) : 0.0573   (5% critical value ~ 0.1109)
    same, restricted to the 115 steps with t > 1e12: ratio 0.8902, mean survival 0.5137, KS 0.0785
